site_code,obs_time,water_level,flow,rainfall
SH00149,2024-01-02 09:40,16.96,122.25,25.03
SH00146,2024-01-02 09:50,11.37,418.81,38.16
SH00073,2024-01-02 10:00,13.44,389.31,0.22
SH00130,2024-01-02 10:10,27.03,263.62,34.91
SH00028,2024-01-02 10:20,13.62,209.67,18.98
SH00029,2024-01-02 10:30,25.23,191.43,23.3
SH00093,2024-01-02 10:40,24.09,300.71,2.03
SH00073,2024-01-02 10:50,19.14,381.28,34.35
SH00105,2024-01-02 11:00,15.81,434.91,9.44
SH00122,2024-01-02 11:10,28.78,215.35,0.64
SH00102,2024-01-02 11:20,18.76,346.35,4.25
SH00152,2024-01-02 11:30,29.55,383.64,44.62
SH00051,2024-01-02 11:40,16.77,317.73,49.53
SH00128,2024-01-02 11:50,15.57,371.07,29.1
SH00165,2024-01-02 12:00,28.86,210.24,33.33
SH00131,2024-01-02 12:10,15.58,395.6,5.4
SH00161,2024-01-02 12:20,28.85,63.38,36.89
SH00007,2024-01-02 12:30,29.44,222.18,33.96
SH00025,2024-01-02 12:40,25.2,347.49,26.0
SH00076,2024-01-02 12:50,23.24,270.61,13.08
SH00140,2024-01-02 13:00,10.35,393.78,49.54
SH00116,2024-01-02 13:10,16.29,219.35,22.98
SH00078,2024-01-02 13:20,27.69,123.86,21.53
SH00029,2024-01-02 13:30,21.38,270.75,27.69
SH00144,2024-01-02 13:40,27.09,278.01,19.57
SH00158,2024-01-02 13:50,23.53,394.91,14.22
SH00033,2024-01-02 14:00,26.74,206.99,37.1
SH00088,2024-01-02 14:10,17.61,242.67,49.6
SH00063,2024-01-02 14:20,14.95,341.64,29.63
SH00079,2024-01-02 14:30,12.29,126.4,26.92
SH00109,2024-01-02 14:40,21.36,455.63,13.33
SH00082,2024-01-02 14:50,17.55,225.64,28.63
SH00173,2024-01-02 15:00,14.12,273.53,40.57
SH00077,2024-01-02 15:10,17.27,246.2,24.85
SH00138,2024-01-02 15:20,14.28,169.32,14.87
SH00160,2024-01-02 15:30,24.86,91.38,42.21
SH00018,2024-01-02 15:40,21.33,288.98,21.36
SH00078,2024-01-02 15:50,20.09,184.96,33.17
SH00065,2024-01-02 16:00,22.5,-46.05000000000001,38.17
SH00148,2024-01-02 16:10,19.98,347.36,41.2
SH00164,2024-01-02 16:20,20.65,326.49,38.46
SH00161,2024-01-02 16:30,11.2,140.29,23.12
SH00077,2024-01-02 16:40,26.88,234.62,43.01
SH00106,2024-01-02 16:50,15.34,179.17,8.03
SH00062,2024-01-02 17:00,12.27,136.36,12.28
SH00144,2024-01-02 17:10,29.83,239.91,45.28
SH00008,2024-01-02 17:20,15.17,411.59,32.93
SH00125,2024-01-02 17:30,25.64,74.9,44.83
SH00017,2024-01-02 17:40,28.01,233.15,18.17
SH00036,2024-01-02 17:50,14.72,306.94,25.01
SH00149,2024-01-02 18:00,28.99,469.2,12.59
SH00032,2024-01-02 18:10,25.46,191.03,41.62
SH00061,2024-01-02 18:20,28.71,148.1,5.34
SH00105,2024-01-02 18:30,15.09,315.27,24.52
SH00082,2024-01-02 18:40,20.91,263.68,12.32
SH00038,2024-01-02 18:50,17.26,372.05,41.07
SH00156,2024-01-02 19:00,10.7,382.75,39.95
SH00172,2024-01-02 19:10,14.79,298.73,15.46
SH00176,2024-01-02 19:20,12.44,440.13,42.88
SH00101,2024-01-02 19:30,28.55,463.07,15.04
SH00077,2024-01-02 19:40,14.21,450.61,45.79
SH00165,2024-01-02 19:50,18.13,65.25,43.32
SH00121,2024-01-02 20:00,24.74,466.92,16.64
SH00026,2024-01-02 20:10,26.49,364.32,25.32
SH00141,2024-01-02 20:20,24.76,253.97,1.37
SH00162,2024-01-02 20:30,18.87,338.49,0.15
SH00148,2024-01-02 20:40,11.64,121.02,25.82
SH00034,2024-01-02 20:50,26.94,358.59,39.63
SH00035,2024-01-02 21:00,15.21,359.36,41.34
SH00107,2024-01-02 21:10,17.35,227.07,18.87
SH00006,2024-01-02 21:20,28.96,465.4,32.36
SH00119,2024-01-02 21:30,13.97,365.57,8.44
SH00067,2024-01-02 21:40,12.99,981.11,8.51
SH00117,2024-01-02 21:50,26.55,272.37,11.22
SH00069,2024-01-02 22:00,15.76,272.38,6.51
SH00073,2024-01-02 22:10,24.53,135.21,9.02
SH00068,2024-01-02 22:20,14.71,252.94,12.42
SH00022,2024-01-02 22:30,10.21,109.94,16.16
SH00099,2024-01-02 22:40,24.17,381.25,12.81
SH00086,2024-01-02 22:50,28.62,261.92,17.72
SH00154,2024-01-02 23:00,24.19,414.43,0.27
SH00102,2024-01-02 23:10,23.43,109.51,44.61
SH00044,2024-01-02 23:20,20.07,468.65,43.89
SH00136,2024-01-02 23:30,18.66,167.18,15.66
SH00072,2024-01-02 23:40,24.96,466.81,14.15
SH00068,2024-01-02 23:50,20.34,246.1,8.25
SH00039,2024-01-03 00:00,21.11,465.28,31.83
SH00014,2024-01-03 00:10,14.6,66.14,13.01
SH00127,2024-01-03 00:20,10.82,210.43,35.45
SH00038,2024-01-03 00:30,12.47,92.11,43.41
SH00131,2024-01-03 00:40,26.45,303.46,33.16
SH00002,2024-01-03 00:50,20.52,306.85,20.82
SH00174,2024-01-03 01:00,11.89,197.9,14.21
SH00096,2024-01-03 01:10,21.81,478.05,41.85
SH00169,2024-01-03 01:20,19.6,332.76,13.47
SH00012,2024-01-03 01:30,23.12,477.9,16.25
SH00146,2024-01-03 01:40,12.59,438.48,40.08
SH00019,2024-01-03 01:50,20.94,321.03,4.63
SH00103,2024-01-03 02:00,11.78,433.56,8.15
SH00168,2024-01-03 02:10,13.08,184.35,40.06
SH00176,2024-01-03 02:20,22.07,211.57,4.81
SH00115,2024-01-03 02:30,27.71,264.4,28.15
SH00095,2024-01-03 02:40,22.28,245.35,21.3
SH00119,2024-01-03 02:50,23.53,341.42,35.68
SH00166,2024-01-03 03:00,20.49,180.82,21.87
SH00039,2024-01-03 03:10,29.68,357.94,15.02
SH00146,2024-01-03 03:20,10.95,84.44,2.25
SH00025,2024-01-03 03:30,19.29,374.14,40.64
SH00129,2024-01-03 03:40,10.33,383.23,23.14
SH00012,2024-01-03 03:50,11.67,444.54,14.88
SH00172,2024-01-03 04:00,19.0,413.53,17.07
SH00055,2024-01-03 04:10,13.7,386.16,30.2
SH00137,2024-01-03 04:20,10.36,227.72,0.67
SH00104,2024-01-03 04:30,27.38,484.61,30.09
SH00158,2024-01-03 04:40,17.21,353.21,34.51
SH00033,2024-01-03 04:50,12.7,135.86,40.8
SH00007,2024-01-03 05:00,14.18,341.88,32.49
SH00138,2024-01-03 05:10,13.82,185.41,23.17
SH00043,2024-01-03 05:20,28.05,882.45,22.26
SH00150,2024-01-03 05:30,14.85,182.67,41.47
SH00027,2024-01-03 05:40,22.61,370.89,48.97
SH00153,2024-01-03 05:50,24.62,499.56,1.85
SH00157,2024-01-03 06:00,28.71,457.28,43.38
SH00005,2024-01-03 06:10,18.44,192.13,3.18
SH00122,2024-01-03 06:20,12.34,330.21,32.31
SH00042,2024-01-03 06:30,15.76,136.49,17.19
SH00176,2024-01-03 06:40,16.78,320.95,42.12
SH00076,2024-01-03 06:50,24.46,225.67,20.84
SH00093,2024-01-03 07:00,25.92,409.89,42.23
SH00023,2024-01-03 07:10,23.34,108.09,9.97
SH00107,2024-01-03 07:20,28.86,272.18,11.74
SH00092,2024-01-03 07:30,27.62,210.67,7.93
SH00009,2024-01-03 07:40,26.14,201.98,5.7
SH00125,2024-01-03 07:50,15.16,203.15,17.76
SH00069,2024-01-03 08:00,27.93,434.03,43.68
SH00013,2024-01-03 08:10,28.53,247.02,22.86
SH00028,2024-01-03 08:20,25.63,324.35,42.92
SH00130,2024-01-03 08:30,12.11,333.47,43.54
SH00075,2024-01-03 08:40,24.16,392.88,24.92
SH00094,2024-01-03 08:50,16.69,112.0,42.43
SH00002,2024-01-03 09:00,14.91,414.12,17.07
SH00096,2024-01-03 09:10,24.3,236.75,31.47
SH00136,2024-01-03 09:20,18.43,152.68,40.09
SH00118,2024-01-03 09:30,29.04,282.27,34.11
SH00003,2024-01-03 09:40,24.35,282.81,3.48
SH00043,2024-01-03 09:50,18.68,226.97,1.85
SH00148,2024-01-03 10:00,11.16,334.22,35.67
SH00076,2024-01-03 10:10,18.39,448.6,35.04
SH00081,2024-01-03 10:20,28.18,53.56,13.99
SH00180,2024-01-03 10:30,18.08,339.75,44.38
SH00114,2024-01-03 10:40,23.95,449.45,39.08
SH00078,2024-01-03 10:50,11.69,291.85,19.5
SH00134,2024-01-03 11:00,29.84,177.77,4.64
SH00163,2024-01-03 11:10,13.2,62.55,39.83
SH00078,2024-01-03 11:20,24.53,494.13,5.52
SH00161,2024-01-03 11:30,20.15,105.72,37.83
SH00147,2024-01-03 11:40,24.74,253.92,49.15
SH00145,2024-01-03 11:50,24.29,471.89,33.28
SH00077,2024-01-03 12:00,15.69,403.16,35.74
SH00134,2024-01-03 12:10,24.75,97.35,25.82
SH00117,2024-01-03 12:20,11.96,370.24,41.42
SH00034,2024-01-03 12:30,19.53,250.77,18.46
SH00133,2024-01-03 12:40,25.58,442.41,29.22
SH00177,2024-01-03 12:50,28.62,270.29,48.66
SH00033,2024-01-03 13:00,19.7,255.97,48.4
SH00178,2024-01-03 13:10,14.25,263.01,37.32
SH00031,2024-01-03 13:20,22.03,233.88,6.04
SH00040,2024-01-03 13:30,12.35,187.22,18.72
SH00037,2024-01-03 13:40,12.84,315.33,2.43
SH00056,2024-01-03 13:50,13.66,382.85,0.1
SH00012,2024-01-03 14:00,18.35,307.88,28.29
SH00122,2024-01-03 14:10,26.69,425.16,6.64
SH00116,2024-01-03 14:20,23.34,117.04,36.39
SH00160,2024-01-03 14:30,18.19,154.77,19.77
SH00114,2024-01-03 14:40,24.72,340.66,43.3
SH00080,2024-01-03 14:50,21.22,105.7,27.97
SH00148,2024-01-03 15:00,25.15,480.78,26.09
SH00005,2024-01-03 15:10,2.41,471.28,8.99
SH00149,2024-01-03 15:20,18.88,413.11,30.34
SH00006,2024-01-03 15:30,16.8,131.23,1.2
SH00024,2024-01-03 15:40,12.29,94.7,8.41
SH00023,2024-01-03 15:50,13.08,478.47,33.93
SH00047,2024-01-03 16:00,10.54,76.33,19.5
SH00083,2024-01-03 16:10,15.16,473.71,44.98
SH00153,2024-01-03 16:20,21.72,271.84,37.62
SH00016,2024-01-03 16:30,16.37,298.9,3.27
SH00005,2024-01-03 16:40,15.38,483.56,33.75
SH00033,2024-01-03 16:50,16.09,233.04,4.2
SH00037,2024-01-03 17:00,17.47,493.39,39.1
SH00143,2024-01-03 17:10,19.03,50.45,23.23
SH00043,2024-01-03 17:20,10.01,470.08,24.11
SH00098,2024-01-03 17:30,29.98,429.1,10.64
SH00042,2024-01-03 17:40,24.78,303.39,15.03
SH00036,2024-01-03 17:50,24.5,499.47,43.91
SH00082,2024-01-03 18:00,27.68,475.43,31.76
SH00070,2024-01-03 18:10,14.92,492.36,17.08
SH00005,2024-01-03 18:20,28.28,-189.82,46.11
SH00173,2024-01-03 18:30,13.47,300.11,34.82
SH00021,2024-01-03 18:40,25.75,342.09,3.88
SH00172,2024-01-03 18:50,18.9,105.54,48.6
SH00100,2024-01-03 19:00,23.54,395.58,34.85
SH00050,2024-01-03 19:10,18.89,149.68,0.99
SH00092,2024-01-03 19:20,13.83,417.33,31.26
SH00127,2024-01-03 19:30,29.35,66.56,24.64
SH00002,2024-01-03 19:40,13.92,419.51,19.8
SH00127,2024-01-03 19:50,13.41,137.2,36.94
SH00045,2024-01-03 20:00,11.31,107.71,3.25
SH00059,2024-01-03 20:10,27.62,378.0,13.72
SH00178,2024-01-03 20:20,23.55,826.51,34.03
SH00165,2024-01-03 20:30,23.46,342.51,42.69
SH00105,2024-01-03 20:40,15.48,356.08,23.33
SH00058,2024-01-03 20:50,10.94,463.28,26.62
SH00086,2024-01-03 21:00,11.64,307.32,1.27
SH00109,2024-01-03 21:10,29.16,462.65,9.84
SH00161,2024-01-03 21:20,11.93,265.98,40.4
SH00086,2024-01-03 21:30,26.81,161.22,23.68
SH00086,2024-01-03 21:40,20.39,156.53,3.65
SH00025,2024-01-03 21:50,22.51,310.52,4.28
SH00081,2024-01-03 22:00,27.8,362.01,39.13
SH00015,2024-01-03 22:10,16.03,331.78,3.29
SH00076,2024-01-03 22:20,27.0,230.76,30.87
SH00169,2024-01-03 22:30,22.48,254.04,23.21
SH00026,2024-01-03 22:40,16.79,471.91,39.15
SH00050,2024-01-03 22:50,12.16,55.53,35.66
SH00147,2024-01-03 23:00,12.52,279.0,17.77
SH00048,2024-01-03 23:10,14.86,408.66,3.02
SH00167,2024-01-03 23:20,25.09,190.03,44.26
SH00080,2024-01-03 23:30,22.07,180.98,48.51
SH00038,2024-01-03 23:40,11.15,278.2,41.76
SH00051,2024-01-03 23:50,29.53,338.25,10.06
SH00122,2024-01-04 00:00,23.9,491.87,29.99
SH00086,2024-01-04 00:10,22.32,238.41,8.11
SH00011,2024-01-04 00:20,19.92,463.98,31.94
SH00055,2024-01-04 00:30,14.78,380.56,47.63
SH00053,2024-01-04 00:40,28.01,421.74,0.34
SH00030,2024-01-04 00:50,12.85,248.18,31.57
SH00008,2024-01-04 01:00,13.98,177.85,10.95
SH00142,2024-01-04 01:10,14.92,138.19,8.8
SH00174,2024-01-04 01:20,12.74,344.69,44.25
SH00117,2024-01-04 01:30,14.8,414.27,33.05
SH00160,2024-01-04 01:40,27.63,445.27,3.27
SH00049,2024-01-04 01:50,13.83,220.19,18.71
SH00063,2024-01-04 02:00,28.42,393.39,29.37
SH00039,2024-01-04 02:10,16.55,73.97,39.78
SH00150,2024-01-04 02:20,27.72,144.16,4.07
SH00017,2024-01-04 02:30,13.35,224.65,44.12
SH00133,2024-01-04 02:40,19.29,194.82,18.69
SH00127,2024-01-04 02:50,19.48,311.53,31.91
SH00054,2024-01-04 03:00,14.39,141.35,43.16
SH00097,2024-01-04 03:10,21.43,470.97,18.71
SH00022,2024-01-04 03:20,15.9,283.47,11.51
SH00087,2024-01-04 03:30,18.52,260.4,20.45
SH00098,2024-01-04 03:40,10.49,248.76,13.28
SH00076,2024-01-04 03:50,26.85,280.76,32.18
SH00026,2024-01-04 04:00,12.37,212.11,27.3
SH00065,2024-01-04 04:10,16.05,417.0,34.18
SH00036,2024-01-04 04:20,29.97,888.5699999999999,36.99
SH00073,2024-01-04 04:30,26.45,402.41,20.19
SH00168,2024-01-04 04:40,10.24,344.34,49.46
SH00059,2024-01-04 04:50,14.54,387.11,23.72
SH00120,2024-01-04 05:00,24.45,257.63,39.6
SH00179,2024-01-04 05:10,18.35,247.41,42.65
SH00033,2024-01-04 05:20,16.11,382.01,24.99
SH00058,2024-01-04 05:30,18.38,358.59,20.17
SH00084,2024-01-04 05:40,21.74,305.41,1.61
SH00085,2024-01-04 05:50,21.36,409.62,45.69
SH00098,2024-01-04 06:00,14.08,225.79,26.72
SH00146,2024-01-04 06:10,29.24,337.55,15.23
SH00046,2024-01-04 06:20,10.64,360.06,24.43
SH00099,2024-01-04 06:30,15.68,154.87,32.98
SH00133,2024-01-04 06:40,10.22,197.05,45.49
SH00034,2024-01-04 06:50,20.73,265.21,3.44
SH00034,2024-01-04 07:00,27.41,189.39,40.89
SH00148,2024-01-04 07:10,28.78,314.37,25.12
SH00002,2024-01-04 07:20,29.82,250.58,41.23
SH00085,2024-01-04 07:30,28.21,445.66,23.01
SH00074,2024-01-04 07:40,22.93,463.5,17.34
SH00101,2024-01-04 07:50,22.26,414.49,8.76
SH00111,2024-01-04 08:00,19.16,459.87,9.17
SH00012,2024-01-04 08:10,14.79,441.74,13.69
SH00018,2024-01-04 08:20,23.96,375.08,10.86
SH00142,2024-01-04 08:30,12.42,215.93,37.77
SH00105,2024-01-04 08:40,19.02,163.74,25.3
SH00178,2024-01-04 08:50,23.51,257.86,17.18
SH00010,2024-01-04 09:00,10.21,101.61,45.86
SH00125,2024-01-04 09:10,19.23,87.15,32.85
SH00121,2024-01-04 09:20,16.41,428.7,8.53
SH00032,2024-01-04 09:30,20.69,225.88,3.88
SH00040,2024-01-04 09:40,18.81,130.07,35.72
SH00114,2024-01-04 09:50,23.93,426.43,40.58
SH00027,2024-01-04 10:00,27.81,188.75,2.62
SH00064,2024-01-04 10:10,17.49,157.34,4.57
SH00087,2024-01-04 10:20,26.41,355.98,3.16
SH00171,2024-01-04 10:30,13.36,125.17,20.78
SH00144,2024-01-04 10:40,22.54,331.1,46.72
SH00060,2024-01-04 10:50,14.28,210.46,8.68
SH00100,2024-01-04 11:00,14.26,149.04,32.9
SH00012,2024-01-04 11:10,11.35,148.35,15.08
SH00027,2024-01-04 11:20,24.25,406.07,46.11
SH00025,2024-01-04 11:30,22.0,491.64,34.82
SH00178,2024-01-04 11:40,12.66,128.9,38.09
SH00171,2024-01-04 11:50,19.64,200.8,30.43
SH00164,2024-01-04 12:00,14.84,276.54,35.23
SH00032,2024-01-04 12:10,16.18,382.06,37.86
SH00096,2024-01-04 12:20,19.97,140.91,18.79
SH00154,2024-01-04 12:30,29.77,249.68,43.87
SH00011,2024-01-04 12:40,20.42,489.91,32.4
SH00085,2024-01-04 12:50,16.85,142.62,2.7
SH00176,2024-01-04 13:00,23.93,150.1,43.64
SH00162,2024-01-04 13:10,10.12,441.44,3.5
SH00037,2024-01-04 13:20,28.77,106.5,8.68
SH00053,2024-01-04 13:30,14.73,85.17,36.25
SH00063,2024-01-04 13:40,18.48,322.63,15.16
SH00052,2024-01-04 13:50,15.44,401.58,4.0
SH00043,2024-01-04 14:00,19.41,240.21,30.47
SH00124,2024-01-04 14:10,10.4,221.64,42.7
SH00153,2024-01-04 14:20,20.74,298.78,8.78
SH00073,2024-01-04 14:30,17.5,322.71,3.6
SH00040,2024-01-04 14:40,28.32,51.88,43.08
SH00104,2024-01-04 14:50,28.51,473.13,48.52
SH00165,2024-01-04 15:00,29.75,82.06,44.25
SH00145,2024-01-04 15:10,13.25,393.33,47.85
SH00090,2024-01-04 15:20,20.19,269.88,34.42
SH00109,2024-01-04 15:30,24.71,159.06,1.73
SH00174,2024-01-04 15:40,10.57,349.55,7.39
SH00038,2024-01-04 15:50,15.09,20.970000000000027,47.59
SH00165,2024-01-04 16:00,24.23,222.96,35.3
SH00049,2024-01-04 16:10,27.52,124.62,21.34
SH00137,2024-01-04 16:20,23.17,222.25,15.4
SH00023,2024-01-04 16:30,12.19,307.68,39.88
SH00054,2024-01-04 16:40,28.6,229.09,15.41
SH00001,2024-01-04 16:50,11.94,398.18,20.89
SH00111,2024-01-04 17:00,13.41,218.59,35.2
SH00029,2024-01-04 17:10,19.01,416.47,9.28
SH00050,2024-01-04 17:20,15.19,456.02,20.44
SH00163,2024-01-04 17:30,13.32,181.91,18.89
SH00150,2024-01-04 17:40,24.7,268.34,38.03
SH00002,2024-01-04 17:50,23.31,405.14,2.09
SH00097,2024-01-04 18:00,22.06,494.1,38.07
SH00087,2024-01-04 18:10,22.09,201.45,34.09
SH00062,2024-01-04 18:20,28.82,349.29,18.92
SH00085,2024-01-04 18:30,26.13,51.39,43.53
SH00036,2024-01-04 18:40,10.51,105.3,26.53
SH00064,2024-01-04 18:50,17.37,328.26,32.94
SH00049,2024-01-04 19:00,10.06,337.13,47.1
SH00012,2024-01-04 19:10,29.39,381.12,33.9
SH00157,2024-01-04 19:20,25.88,206.75,46.95
SH00169,2024-01-04 19:30,27.14,457.34,36.71
SH00037,2024-01-04 19:40,27.4,444.31,39.24
SH00128,2024-01-04 19:50,25.94,185.61,33.65
SH00044,2024-01-04 20:00,27.93,479.77,24.11
SH00044,2024-01-04 20:10,25.07,346.89,4.47
SH00042,2024-01-04 20:20,28.58,196.93,19.17
SH00171,2024-01-04 20:30,19.53,453.88,6.15
SH00126,2024-01-04 20:40,11.81,361.3,43.6
SH00154,2024-01-04 20:50,11.29,204.45,45.51
SH00168,2024-01-04 21:00,22.84,302.85,42.81
SH00030,2024-01-04 21:10,15.82,100.12,17.01
SH00030,2024-01-04 21:20,21.46,107.34,15.67
SH00080,2024-01-04 21:30,11.24,291.02,42.36
SH00094,2024-01-04 21:40,25.95,470.27,6.32
SH00028,2024-01-04 21:50,17.91,292.23,23.03
SH00057,2024-01-04 22:00,20.0,255.1,30.07
SH00180,2024-01-04 22:10,10.69,194.06,25.12
SH00147,2024-01-04 22:20,19.57,422.91,24.75
SH00086,2024-01-04 22:30,13.05,372.54,42.4
SH00014,2024-01-04 22:40,28.46,399.22,42.84
SH00169,2024-01-04 22:50,28.25,121.64,1.08
SH00122,2024-01-04 23:00,29.81,390.97,19.55
SH00179,2024-01-04 23:10,28.46,365.5,27.4
SH00149,2024-01-04 23:20,27.32,74.36,46.73
SH00148,2024-01-04 23:30,12.75,363.18,14.55
SH00051,2024-01-04 23:40,24.71,54.11,36.3
SH00038,2024-01-04 23:50,17.53,492.22,33.97
SH00092,2024-01-05 00:00,29.48,130.83,2.62
SH00152,2024-01-05 00:10,18.68,116.86,36.13
SH00102,2024-01-05 00:20,19.77,359.59,47.73
SH00178,2024-01-05 00:30,29.82,351.83,4.48
SH00098,2024-01-05 00:40,15.5,343.94,18.37
SH00126,2024-01-05 00:50,22.83,458.82,11.25
SH00123,2024-01-05 01:00,15.47,385.41,39.72
SH00166,2024-01-05 01:10,24.05,184.26,6.26
SH00138,2024-01-05 01:20,13.7,415.79,0.99
SH00136,2024-01-05 01:30,19.77,283.51,29.24
SH00032,2024-01-05 01:40,25.07,143.36,32.93
SH00178,2024-01-05 01:50,13.6,299.62,40.03
SH00053,2024-01-05 02:00,23.05,89.52,12.84
SH00032,2024-01-05 02:10,20.12,213.6,27.22
SH00001,2024-01-05 02:20,14.97,70.77,47.29
SH00137,2024-01-05 02:30,18.9,309.68,34.76
SH00091,2024-01-05 02:40,22.12,279.77,34.4
SH00010,2024-01-05 02:50,13.76,184.87,41.63
SH00056,2024-01-05 03:00,21.84,174.83,36.46
SH00067,2024-01-05 03:10,17.64,456.65,20.0
SH00109,2024-01-05 03:20,28.8,114.46,10.19
SH00163,2024-01-05 03:30,23.94,136.68,18.61
SH00155,2024-01-05 03:40,13.28,419.71,15.82
SH00155,2024-01-05 03:50,14.95,171.56,26.57
SH00085,2024-01-05 04:00,22.8,213.27,16.68
SH00058,2024-01-05 04:10,15.47,94.08,48.97
SH00032,2024-01-05 04:20,13.51,377.75,15.33
SH00136,2024-01-05 04:30,16.98,307.47,14.1
SH00013,2024-01-05 04:40,13.41,475.93,19.48
SH00137,2024-01-05 04:50,21.03,446.91,20.13
SH00176,2024-01-05 05:00,20.27,119.97,6.32
SH00014,2024-01-05 05:10,28.37,337.64,18.51
SH00108,2024-01-05 05:20,24.14,132.4,49.31
SH00071,2024-01-05 05:30,29.05,284.27,35.92
SH00163,2024-01-05 05:40,27.16,476.35,20.33
SH00021,2024-01-05 05:50,11.53,158.02,4.68
SH00074,2024-01-05 06:00,21.08,271.78,43.72
SH00131,2024-01-05 06:10,28.65,111.39,24.89
SH00137,2024-01-05 06:20,23.96,232.46,30.81
SH00109,2024-01-05 06:30,24.05,387.35,12.21
SH00136,2024-01-05 06:40,23.68,69.06,22.43
SH00135,2024-01-05 06:50,28.08,128.67,18.35
SH00014,2024-01-05 07:00,18.45,220.59,18.66
SH00064,2024-01-05 07:10,26.63,432.85,42.89
SH00068,2024-01-05 07:20,14.26,382.11,28.44
SH00165,2024-01-05 07:30,20.31,452.04,46.77
SH00015,2024-01-05 07:40,17.11,26.99000000000001,16.43
SH00103,2024-01-05 07:50,17.09,95.6,24.6
SH00040,2024-01-05 08:00,18.21,460.9,0.35
SH00121,2024-01-05 08:10,17.91,184.68,21.42
SH00028,2024-01-05 08:20,29.79,345.33,21.97
SH00002,2024-01-05 08:30,17.18,441.73,9.92
SH00102,2024-01-05 08:40,18.42,199.05,1.58
SH00171,2024-01-05 08:50,29.66,103.46,24.45
SH00033,2024-01-05 09:00,16.5,393.98,44.09
SH00100,2024-01-05 09:10,12.63,480.96,39.64
SH00004,2024-01-05 09:20,25.35,156.43,33.92
SH00003,2024-01-05 09:30,18.69,180.26,24.3
SH00040,2024-01-05 09:40,24.58,134.09,14.06
SH00180,2024-01-05 09:50,14.95,419.27,9.92
SH00180,2024-01-05 10:00,24.61,325.0,9.43
SH00039,2024-01-05 10:10,14.59,109.53,1.92
SH00110,2024-01-05 10:20,10.35,139.84,43.22
SH00180,2024-01-05 10:30,22.67,154.14,16.81
SH00165,2024-01-05 10:40,11.03,99.52,18.18
